MSOAcode,MSOA name,median house price,affordability ratio
E02000525,Hillingdon 032,325000,9.68
E02000526,Hounslow 001,925000,19.01
E02000528,Hounslow 003,446250,12.05
E02000529,Hounslow 004,399950,9.73
E02000530,Hounslow 005,373500,9.43
E02000531,Hounslow 006,500000,13.72
E02000532,Hounslow 007,860000,20.60
E02000533,Hounslow 008,690000,14.47
E02000534,Hounslow 009,560000,9.79
E02000535,Hounslow 010,475000,13.15
E02000536,Hounslow 011,420000,12.12
E02000537,Hounslow 012,465000,11.45
E02000538,Hounslow 013,398250,12.11
E02000539,Hounslow 014,450000,10.94
E02000540,Hounslow 015,390000,10.34
E02000541,Hounslow 016,425000,13.95
E02000542,Hounslow 017,315000,7.50
E02000543,Hounslow 018,295000,7.91
E02000544,Hounslow 019,459000,12.30
E02000545,Hounslow 020,577000,13.77
E02000546,Hounslow 021,351000,10.82
E02000547,Hounslow 022,350000,10.29
E02000548,Hounslow 023,270000,8.72
E02000549,Hounslow 024,384000,10.88
E02000550,Hounslow 025,322000,8.66
E02000551,Hounslow 026,315000,10.23
E02000552,Hounslow 027,302000,8.70
E02000553,Hounslow 028,360000,10.56
E02000554,Islington 001,460000,12.76
E02000555,Islington 002,477733.5,13.34
E02000556,Islington 003,550000,13.36
E02000557,Islington 004,439975,13.14
E02000558,Islington 005,431000,13.98
E02000559,Islington 006,655000,14.87
E02000560,Islington 007,510000,12.34
E02000561,Islington 008,669500,14.22
E02000562,Islington 009,635000,16.26
E02000563,Islington 010,442500,13.14
E02000564,Islington 011,500000,10.96
E02000565,Islington 012,560000,13.72
E02000566,Islington 013,778050,14.17
E02000567,Islington 014,600000,14.59
E02000568,Islington 015,421250,13.16
E02000569,Islington 016,635000,18.27
E02000570,Islington 017,850000,13.81
E02000571,Islington 018,670000,17.90
E02000572,Islington 019,851700,15.40
E02000573,Islington 020,853921.5,18.38
E02000574,Islington 021,705308,15.21
E02000575,Islington 022,727500,16.08
E02000576,Islington 023,680000,17.08
E02000577,Kensington and Chelsea 001,537500,19.67
E02000578,Kensington and Chelsea 002,398000,23.68
E02000579,Kensington and Chelsea 003,1305000,25.90
E02000580,Kensington and Chelsea 004,967500,20.93
E02000581,Kensington and Chelsea 005,461250,18.79
E02000582,Kensington and Chelsea 006,1425000,26.55
E02000583,Kensington and Chelsea 007,1775000,29.24
E02000584,Kensington and Chelsea 008,2244000,39.61
E02000585,Kensington and Chelsea 009,1032500,28.38
E02000586,Kensington and Chelsea 010,2267500,32.13
E02000587,Kensington and Chelsea 011,1375000,37.30
E02000588,Kensington and Chelsea 012,2200000,37.54
E02000589,Kensington and Chelsea 013,1010000,27.72
E02000590,Kensington and Chelsea 014,1052500,29.10
E02000591,Kensington and Chelsea 015,1797250,48.48
E02000592,Kensington and Chelsea 016,1650000,29.84
E02000593,Kensington and Chelsea 017,937500,21.37
E02000594,Kensington and Chelsea 018,1800000,34.88
E02000595,Kensington and Chelsea 019,1294444.5,27.23
E02000596,Kensington and Chelsea 020,1175000,26.26
E02000597,Kensington and Chelsea 021,822500,29.05
E02000598,Kingston upon Thames 001,680000,15.60
E02000599,Kingston upon Thames 002,1137500,26.63
E02000600,Kingston upon Thames 003,500000,12.21
E02000601,Kingston upon Thames 004,573300,12.07
E02000602,Kingston upon Thames 005,500000,10.64
E02000603,Kingston upon Thames 006,455000,12.81
E02000604,Kingston upon Thames 007,600000,14.18
E02000605,Kingston upon Thames 008,602500,14.40
E02000606,Kingston upon Thames 009,450000,10.27
E02000607,Kingston upon Thames 010,580000,12.80
E02000608,Kingston upon Thames 011,435000,9.74
E02000609,Kingston upon Thames 012,520000,14.52
E02000610,Kingston upon Thames 013,430000,8.74
E02000611,Kingston upon Thames 014,645000,15.63
E02000612,Kingston upon Thames 015,561760,13.08
E02000613,Kingston upon Thames 016,455000,10.17
E02000614,Kingston upon Thames 017,491750,12.72
E02000615,Kingston upon Thames 018,420000,11.04
E02000616,Kingston upon Thames 019,374250,9.96
E02000617,Kingston upon Thames 020,380500,11.38
E02000619,Lambeth 002,532500,8.90
E02000620,Lambeth 003,950000,27.67
E02000621,Lambeth 004,638000,14.49
E02000622,Lambeth 005,535000,14.32
E02000623,Lambeth 006,435000,13.51
E02000624,Lambeth 007,463000,12.16
E02000625,Lambeth 008,515000,11.51
E02000626,Lambeth 009,372500,12.88
E02000627,Lambeth 010,532500,13.30
E02000628,Lambeth 011,461249.5,11.11
E02000629,Lambeth 012,582500,11.58
E02000630,Lambeth 013,619000,12.58
E02000631,Lambeth 014,548500,12.51
E02000632,Lambeth 015,600000,12.76
E02000633,Lambeth 016,485000,14.30
E02000634,Lambeth 017,500000,13.95
E02000635,Lambeth 018,512500,13.52
E02000636,Lambeth 019,740000,16.01
E02000637,Lambeth 020,602500,12.28
E02000638,Lambeth 021,482500,11.69
E02000639,Lambeth 022,406000,12.62
E02000640,Lambeth 023,650000,14.62
E02000641,Lambeth 024,399000,12.23
E02000642,Lambeth 025,550000,13.39
E02000643,Lambeth 026,536250,12.88
E02000644,Lambeth 027,422300,11.65
E02000645,Lambeth 028,452500,10.90
E02000646,Lambeth 029,448000,10.39
E02000647,Lambeth 030,494000,12.79
E02000648,Lambeth 031,376750,12.94
E02000649,Lambeth 032,435000,11.60
E02000650,Lambeth 033,450050,12.20
E02000651,Lambeth 034,425000,12.58
E02000652,Lambeth 035,470000,15.03
E02000653,Lewisham 001,445000,14.15
E02000654,Lewisham 002,295000,8.70
E02000655,Lewisham 003,330000,8.88
E02000657,Lewisham 005,385856.5,12.33
E02000658,Lewisham 006,425000,12.10
E02000659,Lewisham 007,406000,9.40
E02000660,Lewisham 008,447500,10.71
E02000661,Lewisham 009,547500,10.97
E02000662,Lewisham 010,435000,13.01
E02000663,Lewisham 011,507500,13.66
E02000664,Lewisham 012,380000,9.28
E02000665,Lewisham 013,485000,12.35
E02000666,Lewisham 014,499999,12.22
E02000667,Lewisham 015,566000,14.14
E02000668,Lewisham 016,555000,12.47
E02000669,Lewisham 017,380000,9.99
E02000670,Lewisham 018,357000,11.32
E02000671,Lewisham 019,525000,12.58
E02000672,Lewisham 020,385497.5,13.17
E02000673,Lewisham 021,425000,12.08
E02000674,Lewisham 022,475000,13.30
E02000675,Lewisham 023,425000,10.46
E02000676,Lewisham 024,468500,12.96
E02000677,Lewisham 025,453625,13.83
E02000678,Lewisham 026,325000,10.45
E02000679,Lewisham 027,393000,11.59
E02000680,Lewisham 028,387500,10.80
E02000681,Lewisham 029,430000,12.35
E02000682,Lewisham 030,395000,13.28
E02000683,Lewisham 031,340000,9.26
E02000685,Lewisham 033,480000,11.05
E02000686,Lewisham 034,300000,9.16
E02000687,Lewisham 035,458500,11.51
E02000689,Merton 001,900000,17.76
E02000690,Merton 002,1795000,28.36
E02000691,Merton 003,707500,13.20
E02000692,Merton 004,725000,13.69
E02000693,Merton 005,445000,9.48
E02000694,Merton 006,600000,13.46
E02000695,Merton 007,495000,14.37
E02000696,Merton 008,405000,10.95
E02000697,Merton 009,617500,10.89
E02000698,Merton 010,950000,22.30
E02000699,Merton 011,600000,12.15
E02000700,Merton 012,346025,9.89
E02000701,Merton 013,370000,11.19
E02000702,Merton 014,365000,9.77
E02000703,Merton 015,695000,14.59
E02000704,Merton 016,443750,10.21
E02000705,Merton 017,400000,11.56
E02000706,Merton 018,322500,10.75
E02000707,Merton 019,382500,11.47
E02000708,Merton 020,535000,13.03
E02000709,Merton 021,561000,13.09
E02000710,Merton 022,320000,9.51
E02000711,Merton 023,370000,11.09
E02000712,Merton 024,375000,11.54
E02000713,Merton 025,427000,10.97
E02000714,Newham 001,462500,14.16
E02000715,Newham 002,400000,12.47
E02000716,Newham 003,422750,12.91
E02000717,Newham 004,290000,9.97
E02000718,Newham 005,358750,9.63
E02000719,Newham 006,419850,11.04
E02000720,Newham 007,550000,18.04
E02000721,Newham 008,350000,12.32
E02000722,Newham 009,401500,11.38
E02000723,Newham 010,425000,13.62
E02000724,Newham 011,385000,10.36
E02000725,Newham 012,433025,10.61
E02000726,Newham 013,501750,10.69
E02000727,Newham 014,385000,12.54
E02000728,Newham 015,345000,11.67
E02000729,Newham 016,435000,12.61
E02000730,Newham 017,392000,12.41
E02000731,Newham 018,380000,12.04
E02000732,Newham 019,395000,11.48
E02000733,Newham 020,395000,10.48
E02000734,Newham 021,416000,12.34
E02000735,Newham 022,355000,15.18
E02000736,Newham 023,350000,11.26
E02000737,Newham 024,365000,11.97
E02000738,Newham 025,382000,12.01
E02000739,Newham 026,350000,12.01
E02000740,Newham 027,350000,11.14
E02000741,Newham 028,350000,11.29
E02000742,Newham 029,355000,10.63
E02000743,Newham 030,340000,10.55
E02000744,Newham 031,354500,12.08
E02000745,Newham 032,395000,10.40
E02000746,Newham 033,465000,12.19
E02000747,Newham 034,446713.5,10.63
E02000748,Newham 035,310750,9.88
E02000749,Newham 036,360000,11.80
E02000750,Newham 037,473000,10.73
E02000751,Redbridge 001,690000,16.49
E02000752,Redbridge 002,360000,11.21
E02000753,Redbridge 003,350000,10.45
E02000754,Redbridge 004,530000,13.52
E02000755,Redbridge 005,464000,11.31
E02000756,Redbridge 006,438250,11.69
E02000757,Redbridge 007,443000,9.66
E02000758,Redbridge 008,470000,14.01
E02000759,Redbridge 009,500000,12.28
E02000760,Redbridge 010,432000,13.04
E02000762,Redbridge 012,531000,14.83
E02000763,Redbridge 013,402500,11.09
E02000764,Redbridge 014,483175,10.74
E02000765,Redbridge 015,482500,12.70
E02000767,Redbridge 017,435000,11.75
E02000768,Redbridge 018,720000,15.76
E02000769,Redbridge 019,357500,10.63
E02000770,Redbridge 020,430000,12.72
E02000772,Redbridge 022,420000,12.82
E02000773,Redbridge 023,420000,12.56
E02000774,Redbridge 024,450000,13.07
E02000776,Redbridge 026,388500,11.69
E02000777,Redbridge 027,780000,17.14
E02000779,Redbridge 029,407500,8.31
E02000780,Redbridge 030,325000,10.05
E02000781,Redbridge 031,430500,12.39
E02000782,Redbridge 032,388000,10.89
E02000783,Redbridge 033,350000,12.24
E02000784,Richmond upon Thames 001,1375000,25.85
E02000785,Richmond upon Thames 002,990000,18.04
E02000786,Richmond upon Thames 003,820500,17.02
E02000787,Richmond upon Thames 004,611000,12.96
E02000788,Richmond upon Thames 005,860000,19.10
E02000789,Richmond upon Thames 006,740000,14.82
E02000790,Richmond upon Thames 007,741000,15.58
E02000791,Richmond upon Thames 008,750000,15.66
E02000792,Richmond upon Thames 009,710000,14.75
E02000793,Richmond upon Thames 010,505000,12.44
E02000794,Richmond upon Thames 011,610000,13.18
E02000795,Richmond upon Thames 012,1250000,27.38
E02000796,Richmond upon Thames 013,500000,13.88
E02000797,Richmond upon Thames 014,553000,10.68
E02000798,Richmond upon Thames 015,547475,12.93
E02000799,Richmond upon Thames 016,740000,13.64
E02000800,Richmond upon Thames 017,587500,16.91
E02000801,Richmond upon Thames 018,695000,13.97
E02000802,Richmond upon Thames 019,555000,14.68
E02000803,Richmond upon Thames 020,418750,10.83
E02000804,Richmond upon Thames 021,670000,15.99
E02000805,Richmond upon Thames 022,605000,13.76
E02000806,Richmond upon Thames 023,655000,15.05
E02000807,Southwark 001,498000,10.17
E02000808,Southwark 002,835000,17.32
E02000809,Southwark 003,645500,12.81
E02000810,Southwark 004,503500,13.81
E02000812,Southwark 006,564000,13.90
E02000813,Southwark 007,485000,12.99
E02000814,Southwark 008,515000,11.80
E02000815,Southwark 009,440000,11.15
E02000816,Southwark 010,350000,10.34
E02000817,Southwark 011,356500,12.20
E02000818,Southwark 012,575000,14.03
E02000819,Southwark 013,332500,9.25
E02000820,Southwark 014,470000,13.26
E02000821,Southwark 015,275000,17.60
E02000822,Southwark 016,450000,14.25
E02000823,Southwark 017,457499.5,12.82
E02000824,Southwark 018,555000,15.45
E02000825,Southwark 019,342500,12.41
E02000826,Southwark 020,429995,11.94
E02000827,Southwark 021,468000,13.69
E02000828,Southwark 022,400000,11.10
E02000829,Southwark 023,465000,14.70
E02000830,Southwark 024,573000,12.65
E02000831,Southwark 025,630000,15.00
E02000832,Southwark 026,470000,13.69
E02000833,Southwark 027,415000,10.02
E02000834,Southwark 028,600000,12.33
E02000835,Southwark 029,610000,14.93
E02000836,Southwark 030,750000,14.75
E02000837,Southwark 031,1175000,20.20
E02000838,Southwark 032,532500,12.84
E02000839,Southwark 033,413750,10.54
E02000840,Sutton 001,374160,11.30
E02000841,Sutton 002,340000,10.31
E02000842,Sutton 003,450000,11.46
E02000843,Sutton 004,354995,8.18
E02000844,Sutton 005,355000,10.20
E02000845,Sutton 006,435000,10.34
E02000846,Sutton 007,431500,11.17
E02000847,Sutton 008,450000,10.92
E02000848,Sutton 009,450000,12.96
E02000849,Sutton 010,380000,10.15
E02000850,Sutton 011,400000,10.52
E02000851,Sutton 012,307500,7.97
E02000852,Sutton 013,389500,9.73
E02000853,Sutton 014,376000,10.23
E02000854,Sutton 015,423500,9.62
E02000855,Sutton 016,532500,13.18
E02000856,Sutton 017,337000,8.04
E02000857,Sutton 018,310000,7.05
E02000858,Sutton 019,350000,9.75
E02000859,Sutton 020,372500,9.84
E02000860,Sutton 021,290750,7.02
E02000861,Sutton 022,660000,14.33
E02000863,Sutton 024,595000,13.19
E02000864,Tower Hamlets 001,497500,12.68
E02000865,Tower Hamlets 002,545000,14.39
E02000866,Tower Hamlets 003,492500,13.70
E02000867,Tower Hamlets 004,440500,10.73
E02000868,Tower Hamlets 005,465500,14.29
E02000869,Tower Hamlets 006,615000,22.91
E02000870,Tower Hamlets 007,434000,14.15
E02000871,Tower Hamlets 008,330000,11.39
E02000872,Tower Hamlets 009,522500,16.95
E02000873,Tower Hamlets 010,430000,14.80
E02000874,Tower Hamlets 011,470000,15.39
E02000875,Tower Hamlets 012,380000,12.27
E02000876,Tower Hamlets 013,404750,9.39
E02000877,Tower Hamlets 014,490000,16.22
E02000878,Tower Hamlets 015,495000,13.52
E02000879,Tower Hamlets 016,405000,13.44
E02000880,Tower Hamlets 017,371500,12.80
E02000881,Tower Hamlets 018,419993,12.57
E02000882,Tower Hamlets 019,355000,13.12
E02000883,Tower Hamlets 020,475000,12.20
E02000884,Tower Hamlets 021,842800,19.16
E02000885,Tower Hamlets 022,346000,11.78
E02000886,Tower Hamlets 023,500000,12.41
E02000887,Tower Hamlets 024,425000,11.65
E02000888,Tower Hamlets 025,465000,9.31
E02000889,Tower Hamlets 026,785944,17.42
E02000890,Tower Hamlets 027,590000,9.76
E02000891,Tower Hamlets 028,479000,11.75
E02000893,Tower Hamlets 030,450000,11.57
E02000894,Tower Hamlets 031,484250,9.84
E02000895,Waltham Forest 001,430000,12.72
E02000896,Waltham Forest 002,455000,11.84
E02000897,Waltham Forest 003,427500,12.43
E02000898,Waltham Forest 004,479175,13.14
E02000899,Waltham Forest 005,455000,13.35
E02000900,Waltham Forest 006,395000,12.08
E02000901,Waltham Forest 007,465000,13.53
E02000902,Waltham Forest 008,427500,11.37
E02000903,Waltham Forest 009,434000,14.69
E02000904,Waltham Forest 010,460000,12.30
E02000905,Waltham Forest 011,404000,13.09
E02000906,Waltham Forest 012,461000,12.93
E02000907,Waltham Forest 013,460000,13.93
E02000908,Waltham Forest 014,440000,12.60
E02000909,Waltham Forest 015,600000,15.40
E02000910,Waltham Forest 016,521500,13.35
E02000911,Waltham Forest 017,452500,13.26
E02000912,Waltham Forest 018,485000,15.19
E02000913,Waltham Forest 019,493000,13.53
E02000914,Waltham Forest 020,416000,12.54
E02000915,Waltham Forest 021,471500,10.81
E02000916,Waltham Forest 022,397500,11.81
E02000917,Waltham Forest 023,435000,11.91
E02000918,Waltham Forest 024,529000,13.52
E02000919,Waltham Forest 025,510000,14.22
E02000920,Waltham Forest 026,410000,11.79
E02000921,Waltham Forest 027,489000,12.87
E02000922,Waltham Forest 028,465000,12.75
E02000923,Wandsworth 001,735500,15.75
E02000924,Wandsworth 002,900900,19.75
E02000925,Wandsworth 003,500000,15.15
E02000926,Wandsworth 004,599950,14.91
E02000927,Wandsworth 005,640000,16.98
E02000928,Wandsworth 006,840000,15.87
E02000929,Wandsworth 007,450000,13.51
E02000930,Wandsworth 008,657000,12.75
E02000931,Wandsworth 009,940000,14.46
E02000932,Wandsworth 010,591500,11.60
E02000933,Wandsworth 011,607500,11.41
E02000934,Wandsworth 012,576650,13.41
E02000935,Wandsworth 013,382500,11.41
E02000936,Wandsworth 014,499950,9.63
E02000937,Wandsworth 015,865000,17.13
E02000938,Wandsworth 016,587500,15.62
E02000939,Wandsworth 017,1391250,21.75
E02000940,Wandsworth 018,392500,10.68
E02000941,Wandsworth 019,635000,13.11
E02000942,Wandsworth 020,925000,17.32
E02000943,Wandsworth 021,645000,11.96
E02000944,Wandsworth 022,480000,11.14
E02000945,Wandsworth 023,362500,10.99
E02000946,Wandsworth 024,550000,12.92
E02000947,Wandsworth 025,665000,13.69
E02000948,Wandsworth 026,593750,11.98
E02000949,Wandsworth 027,722000,13.12
E02000950,Wandsworth 028,450000,9.69
E02000951,Wandsworth 029,602500,13.13
E02000952,Wandsworth 030,730000,16.56
E02000953,Wandsworth 031,585000,12.42
E02000954,Wandsworth 032,670000,16.08
E02000955,Wandsworth 033,499975,14.99
E02000956,Wandsworth 034,490000,12.13
E02000957,Wandsworth 035,494274.5,12.47
E02000958,Wandsworth 036,590000,19.08
E02000959,Wandsworth 037,427000,11.71
E02000960,Westminster 001,1120000,23.54
E02000961,Westminster 002,1050000,24.42
E02000962,Westminster 003,560000,18.42
E02000963,Westminster 004,700000,19.17
E02000964,Westminster 005,530000,15.70
E02000965,Westminster 006,760000,16.09
E02000966,Westminster 007,1150000,20.09
E02000967,Westminster 008,1200000,25.68
E02000968,Westminster 009,592500,18.77
E02000969,Westminster 010,570000,20.48
E02000970,Westminster 011,2050000,34.01
E02000971,Westminster 012,1250000,25.00
E02000972,Westminster 013,1560000,37.01
E02000973,Westminster 014,740000,23.59
E02000974,Westminster 015,905000,22.82
E02000975,Westminster 016,830000,18.46
E02000976,Westminster 017,780000,19.65
E02000977,Westminster 018,1850000,40.51
E02000978,Westminster 019,2525000,54.82
E02000979,Westminster 020,1497500,28.14
E02000980,Westminster 021,795000,22.90
E02000981,Westminster 022,862500,15.61
E02000982,Westminster 023,1000000,21.56
E02000983,Westminster 024,750000,20.20
E02006782,Bromley 040,428000,11.85
E02006783,Lewisham 037,320000,10.71
E02006784,Lewisham 038,337500,10.53
E02006785,Bexley 029,360000,10.00
E02006786,Greenwich 033,360000,10.43
E02006787,Bromley 041,510000,15.42
E02006788,Croydon 045,403750,12.70
E02006789,Bromley 042,430000,12.26
E02006791,Ealing 040,596000,13.35
E02006792,Hounslow 029,600000,14.35
E02006793,Enfield 037,340500,12.15
E02006794,Haringey 037,250000,13.03
E02006795,Harrow 032,465000,12.53
E02006796,Hillingdon 033,414995,11.31
E02006798,Lewisham 039,469995,12.46
E02006799,Barking and Dagenham 023,316250,10.03
E02006800,Redbridge 034,373800,10.65
E02006801,Lambeth 036,797000,17.90
E02006802,Southwark 034,840730,19.88
E02006836,Sutton 025,467500,10.36
E02006853,Tower Hamlets 032,428500,10.86
E02006854,Tower Hamlets 033,567500,9.00
E02006882,Harrow 033,565000,15.36
E02006918,Hackney 028,371500,12.98
E02006921,Hackney 029,427875,12.92
E02006924,Redbridge 035,483750,14.61
E02006925,Redbridge 036,540000,14.38
E02006927,Greenwich 034,480000,12.43
E02006928,Greenwich 035,430000,11.49
E02006929,Greenwich 036,540000,12.94
E02006930,Greenwich 037,475000,10.91
E02006931,Greenwich 038,584500,11.71
